Listening to port 4567
Connected!!!
UKF: initializing...
Radar NIS value=1.2417
Lidar NIS value=0.192133
Radar NIS value=0.0412266
Lidar NIS value=0.938174
Radar NIS value=1.75698
Lidar NIS value=8.0736
Radar NIS value=0.810235
Lidar NIS value=0.0803642
Radar NIS value=1.9275
Lidar NIS value=1.26884
Radar NIS value=5.51702
Lidar NIS value=0.168892
Radar NIS value=1.34067
Lidar NIS value=0.339312
Radar NIS value=1.82984
Lidar NIS value=2.75102
Radar NIS value=7.09091
Lidar NIS value=0.588144
Radar NIS value=5.18943
Lidar NIS value=0.250115
Radar NIS value=4.67917
Lidar NIS value=1.58746
Radar NIS value=3.3185
Lidar NIS value=5.75252
Radar NIS value=0.81126
Lidar NIS value=0.417793
Radar NIS value=3.58957
Lidar NIS value=4.9165
Radar NIS value=1.36104
Lidar NIS value=0.753062
Radar NIS value=0.407295
Lidar NIS value=5.34295
Radar NIS value=5.89202
Lidar NIS value=6.20557
Radar NIS value=4.52977
Lidar NIS value=3.24276
Radar NIS value=5.43833
Lidar NIS value=2.10354
Radar NIS value=3.64275
Lidar NIS value=0.117342
Radar NIS value=2.81324
Lidar NIS value=1.30053
Radar NIS value=0.713986
Lidar NIS value=1.9557
Radar NIS value=2.33186
Lidar NIS value=0.107353
Radar NIS value=0.717333
Lidar NIS value=0.707578
Radar NIS value=2.7064
Lidar NIS value=7.3135
Radar NIS value=0.17002
Lidar NIS value=1.37895
Radar NIS value=5.1972
Lidar NIS value=1.61703
Radar NIS value=2.51605
Lidar NIS value=2.16034
Radar NIS value=3.54272
Lidar NIS value=2.556
Radar NIS value=5.77579
Lidar NIS value=0.717833
Radar NIS value=2.39772
Lidar NIS value=1.13476
Radar NIS value=0.255608
Lidar NIS value=1.75668
Radar NIS value=0.793524
Lidar NIS value=1.83544
Radar NIS value=1.58837
Lidar NIS value=0.649331
Radar NIS value=3.70966
Lidar NIS value=0.663002
Radar NIS value=4.12889
Lidar NIS value=0.315616
Radar NIS value=2.4453
Lidar NIS value=2.46361
Radar NIS value=5.21162
Lidar NIS value=0.196421
Radar NIS value=0.899664
Lidar NIS value=2.99764
Radar NIS value=2.70423
Lidar NIS value=1.27433
Radar NIS value=2.52896
Lidar NIS value=0.276028
Radar NIS value=1.54124
Lidar NIS value=2.01759
Radar NIS value=0.347147
Lidar NIS value=5.32497
Radar NIS value=3.55438
Lidar NIS value=2.40234
Radar NIS value=1.07631
Lidar NIS value=3.80934
Radar NIS value=2.61322
Lidar NIS value=2.27891
Radar NIS value=0.741571
Lidar NIS value=1.11785
Radar NIS value=1.72072
Lidar NIS value=3.00456
Radar NIS value=7.37725
Lidar NIS value=0.129884
Radar NIS value=3.95922
Lidar NIS value=0.0644065
Radar NIS value=11.5254
Lidar NIS value=1.19421
Radar NIS value=2.03562
Lidar NIS value=3.93548
Radar NIS value=1.01704
Lidar NIS value=0.21031
Radar NIS value=0.900092
Lidar NIS value=0.346627
Radar NIS value=3.78741
Lidar NIS value=1.06459
Radar NIS value=1.62167
Lidar NIS value=6.18813
Radar NIS value=5.01406
Lidar NIS value=2.32336
Radar NIS value=3.2449
Lidar NIS value=0.611686
Radar NIS value=4.02116
Lidar NIS value=2.9316
Radar NIS value=1.84419
Lidar NIS value=2.75319
Radar NIS value=4.23531
Lidar NIS value=0.5496
Radar NIS value=2.34672
Lidar NIS value=0.0811309
Radar NIS value=6.5149
Lidar NIS value=0.920066
Radar NIS value=2.78373
Lidar NIS value=1.93551
Radar NIS value=0.572989
Lidar NIS value=0.676252
Radar NIS value=0.50504
Lidar NIS value=0.803176
Radar NIS value=1.0019
Lidar NIS value=0.0106328
Radar NIS value=2.08894
Lidar NIS value=2.3652
Radar NIS value=2.14238
Lidar NIS value=0.20673
Radar NIS value=1.20988
Lidar NIS value=6.47061
Radar NIS value=2.94286
Lidar NIS value=2.11134
Radar NIS value=6.90462
Lidar NIS value=0.902309
Radar NIS value=4.24032
Lidar NIS value=2.3946
Radar NIS value=3.96302
Lidar NIS value=3.00374
Radar NIS value=1.72324
Lidar NIS value=0.670504
Radar NIS value=1.35529
Lidar NIS value=5.17533
Radar NIS value=4.68782
Lidar NIS value=0.996238
Radar NIS value=3.34847
Lidar NIS value=0.0728874
Radar NIS value=1.78892
Lidar NIS value=1.00108
Radar NIS value=4.4446
Lidar NIS value=1.88594
Radar NIS value=1.09784
Lidar NIS value=0.510822
Radar NIS value=1.7009
Lidar NIS value=0.951171
Radar NIS value=2.08042
Lidar NIS value=1.70605
Radar NIS value=7.76616
Lidar NIS value=2.3414
Radar NIS value=0.933806
Lidar NIS value=3.79857
Radar NIS value=9.3681
Lidar NIS value=0.0522568
Radar NIS value=1.25705
Lidar NIS value=0.628835
Radar NIS value=2.10752
Lidar NIS value=0.207212
Radar NIS value=1.07936
Lidar NIS value=4.12023
Radar NIS value=1.68562
Lidar NIS value=2.80613
Radar NIS value=3.63297
Lidar NIS value=1.10144
Radar NIS value=2.89957
Lidar NIS value=1.62407
